Classification,item,item_VN,Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
REV,Corporate income tax,thue thu nhap doanh nghiep,agg_tax_cor,35574,40106,47410,56987,75847,99796 ,104552,137239,112164,148655,196058,215798,231146,207807,200030,189677,217200,250892,270610
REV,state owned enterprise tax,thue kinh te quoc doanh,tax_cor_soe,23149,25066,28748,13066,15017,21018,21603,36182,37381.3,52605,59092,58554.441,56545,45242,50942,47086,45978,44807,52400
REV,FDI sector tax,thue doanh nghiep FDI,tax_cor_fdi,5702,7276,9942,37512,52834,68734,71515,83385,63538,74323.6,111573,129119.154,145804,130784.1,113926,97462,108401.4,135606,134504
REV,private sector tax,thue kinh te tu nhan,tax_cor_priv,6723,7764,10361,6409,7906,10045,11434,17672,11245,21726,25393,28124.84,28797,31781,35162,43937,56978.4,70479,83706
REV,Personal income tax,thue thu nhap ca nhan,tax_inc,2058,2338,2951,3521,4234,5179 ,7415,12940,14318,26276,38469,44959,46548,47844,56723,65239,78783,94364,109406
REV,Land and housing tax,thue su dung dat phi nong nghiep,tax_res,298,336,359,438,515,594 ,711,902,1203,1396,1589,1193,1447,1463,1479,1419,1687,1874,2040
REV,Registration tax,le phi truoc ba,tax_reg,1191,1332,1817,2607,2797,3363 ,5636,7363,9670,12611,15700,11816,13595,16090,22405,27311,27613,32409,40190
REV,Value added tax,thue gia tri gia tang,tax_vat,,9488,33130,38814,45878,55148 ,69822,91506,108549,155022,192064,174056,208536,241129,251758,269627,314508,344063,362691
REV,Excise tax,thue tieu thu dac biet,tax_exc,,,8851,12773,15716,17195 ,17365,22123,29728,37311,42686,43364,54177,55474,66653,85853,86585,96025,106753
REV,Natural resouces tax,thue tai nguyen,tax_nat,,,9719,17398,21236,26620 ,21461,26347,19093,26316,38123,40660,37894,38048,29110,27080,32822,38195,36768
REV,Agricultural land-use tax,thue su dung dat nong nghiep,tax_agr,814,772,151,130,132,111 ,113,97,67,56,72,69,69,61,58,60,39,27,20
REV,"Imp - Exp. tax, excise tax and environmental protection tax on Imports",thue xuat nhap khau,tax_exm,22949,22083,22374,21614,23660,26280 ,38309,60474,76996,74068,81406,71276,78253,95603,99315,96247,97018,87317,96943
REV,Environmental protection tax,thue bao ve moi truong,tax_env,0,0,0,0,0,0,0,0,0,0,11201,12676,11849,12087,27020,43632,44666,47050,63075
REV,Revenue from Loterry,thue xo so kien thiet,tax_lot,2457,3029,,,,,,,,,,,,,,,27898,29440,33908
REV,Business License tax,thue mon bai,tax_lcs,,,778,657,726,794 ,883,1011,1153,1326,1478,1575,1693,1763,1819,1966,,,
REV,Fees and charges,phi va thu ngoai thue,ntax_fee,2583,3021,8641,7765,8135,8955 ,10941,12290,18325,20542,10341,11281,14283,16038,25381,17211,36062,37530,41011
REV,Land rents,phi lien quan den nha dat,ntax_res,3879,5486,6483,1035,1004,1622 ,2180,3521,3370,3791,5869,7771,7473,9421,15451,23621,25230,28437,33829
REV,Oil revenue,thu tu dau tho,rev_oil,26281,26510,36773,48562,66558,83346,78634,89603,61137,69179,110205,140106,120436,100082,67510,40186,49583,66048,56251
REV,Miscellaneous revenues,thu khac,ntax_misc,1554,2297,11259,15778,18575,16956 ,17381,13632,23894,17628,20420,41518,63867,77661,118194,143028,163155,185815,193787
REV,"Capital revenues (revenues from sale of State - owned houses, land user right assignment)",thu ve von,cap_rev,,,9265,15540,15459,17409 ,31165,32885,39588,51563,54225,46904,46394,46156,70977,100887,127490,150442,157448
REV,Grants,vien tro khong hoan lai,aid,2011,2250,2969,2877,3789,7897 ,6012,9413,7908,11868,12103,10267,11124,11050,11844,8519,7910,7780,5133
REV,Aggregate revenue from tax,tong thu tu thue,agg_tax,69134,84296,127947,155579,191725,236331 ,268594,363020,373201,483037,618846,617442,685207,717370,756370,808111,928818,1021657,1122403
REV,"Aggregate revenue from non-tax, fee charges",tong thu ngoai thue,agg_ntax,6462,10804,17875,24618,27714,27532 ,30502,29443,45589,41960,36630,60570,85623,103120,159026,183860,224447,251783,268627
REV,Aggregate current revenue (all revenue excluding aids),tong thu thuong xuyen,agg_curRev,101877,121610,145822,180197,219438,263864 ,299096,392463,418790,524998,655476,678012,770830,820491,915396,991971,1153265,1273440,1391030
REV,Aggregate revenue,tong thu,agg_Rev,103888,123860,158056,198614,238686,289170 ,336273,434761,466286,588428,721804,735183,828348,877697,998217,1101377,1288665,1431662,1553611
EXP,Administration expenditures,chi quan ly hanh chinh,agg_exp_adm,8734,,11359,15901,18761,18515 ,32071,38025,40557,56129,72423,89172,109093,123120,132843,118169,128080,,
EXP,Economic expenditures ,chi su nghiep kinh te,agg_exp_eco,6288,,8164,10301,11801,14212 ,15936,21193,27208,37632,45543,56854,66231,69442,79519,91545,109297,,
EXP,Education and training expenditures,chi giáo dục đào tạo,exp_soc_edu,15432,17844,22881,25343,28611,30127 ,35241,43414,69320,78206,99369,127136,155603,174777,177367,195635,217057,220436,237767
EXP,"Health, Population and Family expenditures",chi y te dan sinh va gia dinh,exp_soc_hea,4645,,5372,6009,7608,7205 ,8756,10146,19354,2513,30930,39454,45872,50261,49423,76217,85230,,
EXP,Science technology expenditures,chi khoa hoc cong nghe,exp_soc_sci,1625,1852,1853,2362,2584,11528 ,12688,14384,3811,4144,5758,5918,6593,7027,9392,10471,11263,11111,12426
EXP,Culture & information expenditures,chi van hoa thong tin,exp_soc_cul,921,,2962,3792,4442,4014,4625,5154,6080,8828,8645,11372,13166,13574,15539,6330,7410,,
EXP,Radio & TV broadcasting expenditures,chi truyen thong va thong tan,exp_soc_rtv,838,,,,,,,,,,,,,,,3805,4580,,
EXP,Sports activities expenditures,chi the duc the thao,exp_soc_spo,483,,,,,,,,,,,,,,,2840,2921,,
EXP,Social security expenditures,chi luong huu va bao dam xa hoi,exp_soc_ssp,13425,,16451,17282,17747,28651,36597,37137,50266,64218,78090,85671,100247,106958,105295,122905,131104,,
EXP,Interest payment,chi tra no lai,exp_irp,,,6395,7217,6621,7965 ,12660,16730,20490,25400,29786,39884,54084,66738,82022,86882,98900,106584,107065
EXP,Salary reform expenditures,chi cai cach tien luong,exp_sal,,,,2356,12983,16572 ,21666,22891,18870,17517,21184,48494,15600,NA,10000,13055,6600,,
EXP,Capital construction expenditure,chi xay dung co ban,exp_inv_con,36139,,54430,61746,72842,81078 ,98692,110085,169036,172351,195483,254417,258708,236589,285663,265023,360526,,
EXP,Other capital expenditures,chi ve von khac,exp_inv_cap,4097,,5199,4369,6357,7263 ,5610,9377,12327,10815,12823,14395,12972,11863,23190,3158,5000,,
EXP,Principal repayment,chi tra no goc,exp_rep,,,19032,26822,33606,39649 ,44473,40930,53244,62516,81126,64817,56579,64404,84497,67068,161340,137157,188214
EXP,Aggregate Current Expenditure,tong chi thuong xuyen,agg_curExp,128924,78039,102522,121238,149893,180069 ,232010,292374,326666,403151,498122,644835,759893,791127,872275,937951,1016152,1042131,1105048
EXP,Aggregate Social Expenditure,tong chi an sinh xa hoi,agg_socExp,65274,24951,50185,55185,61475,78059 ,92029,114020,148831,180526,222792,269551,321481,352597,357016,418203,459565,,
EXP,Aggregate Investment and Development Expenditure,tong chi dau tu phat trien,agg_invExp,40236,45218,59629,66115,79199,88341 ,104302,119462,181363,183166,208306,268812,271680,248452,308853,268181,365526,393304,421845
EXP,Aggregate Expenditre,tong chi,agg_Exp,129773,148208,162151,187353,229092,268410 ,336311,411836,508029,788358,953118,913647,1031573,1039579,1181128,1293009,1462965,1435435,1526983
DEF,Budget deficit,tham hut ngan sach,def,25885,24348,29936,34703,40746,48613,64567,67676,114442,109191,112034,173815,236769,249362.4,263134.5,254000,174300,153110,161491
NA,GDP at current price,GDP hien hanh,gdp_curr,,,613443,715307,914001,1061565,1246769,1616047,1809149,2157828,2779880,3245419,3584262,3937856,4192862,4502733,5005975,5542332,6048352.06
NA,GDP at constant 2010 prices,GDP theo 2010,rgdp_cons,,,,,1588646,1699501,1820667,1923749,2027591,2157828,2292483,2412778,2543596,2695796,2875856,3054470,3262548,3493399,
